subject;DEITEM;item;prime;primec;primecc;uncorrRT;uncorrRT200;;;cutoff3SD;RT;AR_English;RTtransf
1;1;1;ID;a;-2;371;371;361.3892216;46.95740832;502.2614465;371;23;-2.69541779
1;2;2;ID;a;-2;323;323;;;502.2614465;323;23;-3.095975232
1;3;3;ID;a;-2;363;363;;;502.2614465;363;23;-2.754820937
1;4;4;ID;a;-2;364;364;;;502.2614465;364;23;-2.747252747
1;5;5;ID;a;-2;396;396;;;502.2614465;396;23;-2.525252525
1;6;6;ID;a;-2;338;338;;;502.2614465;338;23;-2.958579882
1;7;7;ID;a;-2;329;329;;;502.2614465;329;23;-3.039513678
1;8;8;ID;a;-2;339;339;;;502.2614465;339;23;-2.949852507
1;9;9;ID;a;-2;383;383;;;502.2614465;383;23;-2.610966057
1;10;10;ID;a;-2;336;336;;;502.2614465;336;23;-2.976190476
1;11;11;ID;a;-2;422;422;;;502.2614465;422;23;-2.369668246
1;12;12;ID;a;-2;347;347;;;502.2614465;347;23;-2.88184438
1;13;13;ID;a;-2;426;426;;;502.2614465;426;23;-2.34741784
1;14;14;ID;a;-2;414;414;;;502.2614465;414;23;-2.415458937
1;15;15;ID;a;-2;366;366;;;502.2614465;366;23;-2.732240437
1;16;16;ID;a;-2;317;317;;;502.2614465;317;23;-3.154574132
1;17;17;ID;a;-2;441;441;;;502.2614465;441;23;-2.267573696
1;18;18;ID;a;-2;371;371;;;502.2614465;371;23;-2.69541779
1;19;19;ID;a;-2;374;374;;;502.2614465;374;23;-2.673796791
1;20;20;ID;a;-2;343;343;;;502.2614465;343;23;-2.915451895
1;21;21;ID;a;-2;359;359;;;502.2614465;359;23;-2.78551532
1;22;22;ID;a;-2;372;372;;;502.2614465;372;23;-2.688172043
1;23;23;ID;a;-2;371;371;;;502.2614465;371;23;-2.69541779
1;24;24;ID;a;-2;355;355;;;502.2614465;355;23;-2.816901408
1;25;25;ID;a;-2;;;;;502.2614465;;23;
1;26;26;ID;a;-2;330;330;;;502.2614465;330;23;-3.03030303
1;27;27;ID;a;-2;295;295;;;502.2614465;295;23;-3.389830508
1;28;28;ID;a;-2;347;347;;;502.2614465;347;23;-2.88184438
1;29;29;ID;a;-2;324;324;;;502.2614465;324;23;-3.086419753
1;30;30;ID;a;-2;470;470;;;502.2614465;470;23;-2.127659574
1;31;31;ID;a;-2;447;447;;;502.2614465;447;23;-2.237136465
1;32;32;ID;a;-2;382;382;;;502.2614465;382;23;-2.617801047
1;33;33;ID;a;-2;339;339;;;502.2614465;339;23;-2.949852507
1;34;34;ID;a;-2;259;259;;;502.2614465;259;23;-3.861003861
1;35;35;VSNH;b;-1;386;386;;;502.2614465;386;23;-2.590673575
1;36;36;VSNH;b;-1;336;336;;;502.2614465;336;23;-2.976190476
1;37;37;VSNH;b;-1;298;298;;;502.2614465;298;23;-3.355704698
1;38;38;VSNH;b;-1;328;328;;;502.2614465;328;23;-3.048780488
1;39;39;VSNH;b;-1;361;361;;;502.2614465;361;23;-2.770083102
1;40;40;VSNH;b;-1;349;349;;;502.2614465;349;23;-2.865329513
1;41;41;VSNH;b;-1;440;440;;;502.2614465;440;23;-2.272727273
1;42;42;VSNH;b;-1;372;372;;;502.2614465;372;23;-2.688172043
1;43;43;VSNH;b;-1;314;314;;;502.2614465;314;23;-3.184713376
1;44;44;VSNH;b;-1;344;344;;;502.2614465;344;23;-2.906976744
1;45;45;VSNH;b;-1;470;470;;;502.2614465;470;23;-2.127659574
1;46;46;VSNH;b;-1;330;330;;;502.2614465;330;23;-3.03030303
1;47;47;VSNH;b;-1;371;371;;;502.2614465;371;23;-2.69541779
1;48;48;VSNH;b;-1;374;374;;;502.2614465;374;23;-2.673796791
1;49;49;VSNH;b;-1;392;392;;;502.2614465;392;23;-2.551020408
1;50;50;VSNH;b;-1;346;346;;;502.2614465;346;23;-2.89017341
